Loan Amount,Funded Amount,Funded Amount Investor,Term,Interest Rate,Grade,Sub Grade,Employment Duration,Home Ownership,Verification Status,Debit to Income,Delinquency - two years,Inquires - six months,Open Account,Public Record,Revolving Balance,Revolving Utilities,Total Accounts,Initial List Status,Total Received Interest,Total Received Late Fee,Recoveries,Collection Recovery Fee,Collection 12 months Medical,Application Type,Last week Pay,Total Collection Amount,Total Current Balance,Total Revolving Credit Limit,BAD
27478,30817,24684.57995,58,9.755270033,C,E2,MORTGAGE,179223.3331,Verified,28.78469601,0,0,11,0,22376,19.80557043,16,w,466.828086,42.44903972,9.021347572,0.766373163,0,INDIVIDUAL,75,29,79869,4204,0
21507,11331,7475.443968,58,5.491806525,C,B1,RENT,37120.48208,Not Verified,30.41369412,0,0,28,0,712,11.10491651,22,f,11.11943382,0.06058845,0.523786194,1.520044555,0,INDIVIDUAL,83,2047,319059,19167,0
26461,20719,3562.52973,59,12.24750015,F,B3,OWN,135636.9703,Not Verified,25.78133351,0,0,11,0,4236,62.65073939,15,f,1679.680919,0.083598654,9.138567526,0.704920793,0,INDIVIDUAL,53,39,38359,10653,0
18966,21259,25873.77375,59,8.593422776,A,E1,MORTGAGE,92212.29559,Verified,31.19894979,0,0,16,0,6084,29.36698996,39,f,623.5375566,0.04638721,4.003371659,1.333854816,0,INDIVIDUAL,84,38,89940,14568,0
7917,31286,9951.50623,59,7.005345265,B,E4,MORTGAGE,192834.5375,Not Verified,5.961887078999999,0,0,8,1,104133,13.94739792,16,f,21.7580375,0.042501467,2.632293454,0.947896296,0,INDIVIDUAL,149,11,195150,13428,0
4465,11443,12245.37941,59,11.77183952,C,B4,OWN,65989.04079,Not Verified,19.37554295,0,1,13,0,2010,46.52381366,17,f,2053.115153,0.040707582,6.391562175,0.1924567019999999,0,INDIVIDUAL,87,49,246580,59012,0
16118,7185,8072.546937999999,58,9.747742863,B,E4,RENT,60187.38299,Verified,38.97731239,0,0,8,0,3594,72.68008309,26,w,1924.112767,0.010120653,7.666393364,0.336438542,0,INDIVIDUAL,8,341,192599,33290,1
10605,12728,10392.96094,58,15.66042764,B,B3,MORTGAGE,69380.01213999999,Not Verified,34.18058322,0,0,14,0,12567,99.63558224,8,w,281.7469675,0.094282303,5.097086334,1.015026356,0,INDIVIDUAL,29,49,7799,5862,1
8946,8145,9451.079588,58,6.622539582000001,A,C5,RENT,69981.28666,Source Verified,12.18057409,0,0,13,0,1919,81.34954045,22,w,124.5547567,0.016114299,564.2660675,0.4640826979999999,0,INDIVIDUAL,131,39,191988,6139,0
21259,10494,20323.05147,58,9.293148627,C,C4,MORTGAGE,212845.8329,Not Verified,30.04200166,0,0,25,0,5278,18.43374739,5,w,11344.39708,0.015779309,5.678971436,1.169374725,0,INDIVIDUAL,121,1020,28508,18091,0
18269,8235,15220.20401,59,10.34714818,B,B4,MORTGAGE,61363.57097000001,Verified,14.02761236,2,0,8,0,409,89.13100617,32,f,1393.084407,0.064731736,0.057430166,0.308142295,0,INDIVIDUAL,0,8,172395,4605,0
14902,17312,12420.1009,58,8.87735972,B,A4,MORTGAGE,54093.06194,Source Verified,34.34450019,1,0,15,0,4648,23.02711137,13,f,1287.438181,0.1013338019999999,6.97721766,0.914002841,0,INDIVIDUAL,78,47,54812,53211,0
3343,9057,20564.44002,58,7.252473967,B,F4,OWN,115850.4949,Not Verified,11.28020036,0,0,10,0,12877,20.60346263,16,w,3258.1343100000004,0.005363771,4.950657425,0.631048014,0,INDIVIDUAL,71,44,41642,29131,1
18681,20731,12658.11848,59,8.945981805,C,E2,RENT,90935.82016,Not Verified,31.57048989,0,1,14,1,987,12.25360235,40,f,2004.766342,0.06571936,3.662286211,1.05809107,0,INDIVIDUAL,43,36,237046,10370,0
15547,11100,12476.5619,59,19.77302736,E,C4,RENT,73451.14069,Source Verified,21.7294211,6,0,10,0,10408,74.54784831,10,w,2029.448792,0.011062757,7.410106061,0.462014924,0,INDIVIDUAL,124,34,238831,3204,0
20304,9713,16758.4249,59,18.57552545,A,B3,OWN,36610.05097,Verified,37.77212428,0,0,14,0,654,71.62182144,19,w,4646.05343,0.078410051,2.31690709,0.121946528,0,INDIVIDUAL,15,45,149741,3107,1
7093,16136,12736.5937,59,10.88039605,D,A5,RENT,213800.3507,Verified,10.24162193,0,1,14,0,1415,50.80706022,8,w,2317.4221030000003,0.01156543,2.25802789,1.200542388,0,INDIVIDUAL,150,28,194814,19373,0
26276,10432,12733.45067,59,19.50084933,G,B5,MORTGAGE,64915.81193,Not Verified,35.68261226,0,0,14,0,5597,59.60942279,7,w,618.4938252999999,0.005842928,1.420945967,0.151860446,1,INDIVIDUAL,39,21,29493,106383,0
21560,20460,7028.650349,58,11.02051825,C,C4,RENT,64221.92287,Verified,28.89805825,0,0,14,0,8146,84.7050672,20,w,261.1602588,0.0221628889999999,3.944566713,0.8969615479999999,0,INDIVIDUAL,14,48,277482,13141,0
23547,15339,15805.56221,59,12.63374477,B,B4,MORTGAGE,77726.39755,Source Verified,19.29613792,0,0,8,0,3443,52.86711166,11,w,515.4399003999999,0.014880497,2.530683731,0.972156429,0,INDIVIDUAL,22,22,327055,29703,0
8610,4055,13345.75416,58,7.0846185,B,A3,MORTGAGE,70566.73657000001,Source Verified,17.57358493,0,0,35,0,8630,80.5257281,20,w,8947.306993,0.107395015,0.383760304,0.293037879,0,INDIVIDUAL,8,27,156029,25563,0
11034,32417,18885.60156,58,14.02758048,D,C2,RENT,35864.54882,Not Verified,29.06535194,0,0,11,0,3609,71.69532908,22,f,4699.559014,0.059567485,2.512556316,0.7635113109999999,0,INDIVIDUAL,43,19,418080,14334,0
19268,28175,11490.73474,59,8.976365276000001,C,B1,MORTGAGE,125614.3105,Not Verified,27.20031873,0,0,13,0,5940,90.65552031,5,w,640.5261695,0.079378337,3.528111357,0.878920018,0,INDIVIDUAL,58,1218,27534,14487,0
12207,22299,23188.86365,59,13.53137452,C,A3,MORTGAGE,90940.87346,Verified,18.14750941,1,0,19,0,21281,71.08773306,8,f,2014.594849,0.108837414,4.902837572,0.994928657,0,INDIVIDUAL,67,25,196178,8090,0
16089,8611,10884.19155,59,8.281245404,C,F5,MORTGAGE,109115.1893,Verified,25.2244488,0,0,11,1,8272,67.18235026,26,f,1186.6210130000002,0.047152104,1.213213284,0.546363101,0,INDIVIDUAL,69,25,25181,26762,0
14689,27275,8553.311977,59,11.75984655,D,B3,MORTGAGE,98613.62964,Verified,32.66036854,0,1,28,0,4181,33.11912024,14,w,76.01026772,0.055803975,5.076936834,0.885806903,0,INDIVIDUAL,18,548,411588,29921,0
27841,9533,10551.82016,58,14.45026389,B,B3,RENT,84573.07003999999,Source Verified,20.54299514,0,0,14,0,5238,63.02939752,16,f,4944.405264,0.060986154,7.379804445,1.26373711,0,INDIVIDUAL,71,20,244913,40391,0
32245,15667,10522.90682,58,8.046100986,B,C1,RENT,78651.66369,Source Verified,23.94457543,0,0,14,0,1533,56.45203141,16,w,9909.130512,0.075349922,0.421313886,0.25089919,0,INDIVIDUAL,63,54,164685,17278,0
9349,7893,15856.906619999998,59,6.884190465,E,C4,MORTGAGE,80957.94196,Verified,19.32595547,0,0,17,0,4581,95.95205315,19,f,3472.310626,0.037309255,3.910155384,1.043810386,0,INDIVIDUAL,105,10,114918,32705,0
3891,25949,11054.40062,58,8.898502781,B,E5,MORTGAGE,56374.98397,Not Verified,10.69767237,0,0,7,0,786,55.52282235,20,f,1861.775314,0.073699442,2.835684845,0.4971969479999999,0,INDIVIDUAL,93,44,319468,11067,0
7820,20295,10588.20322,36,10.31131326,B,E2,RENT,49482.06125,Source Verified,15.13301709,1,2,4,0,10445,77.61550322,22,f,6060.928931,0.018848252,6.267010945,1.130058086,0,INDIVIDUAL,24,29,28216,19388,0
2059,16392,17452.630569999998,59,16.63115687,C,F1,RENT,21881.84498,Source Verified,14.04876081,0,0,6,0,1185,19.53117563,19,f,28.77450611,0.001140641,4.831773177,0.529804052,0,INDIVIDUAL,61,29,126597,21194,0
11785,9124,8386.139417,59,11.77815803,B,A2,MORTGAGE,128744.7878,Source Verified,29.37858237,0,0,14,0,5414,64.2137586,12,f,1256.3122050000002,0.0059465219999999,1.411284802,0.562579407,0,INDIVIDUAL,68,47,140319,21781,0
7819,8562,8513.331972,58,13.38970082,B,D3,MORTGAGE,43213.39171,Source Verified,26.48399809,0,0,13,0,3734,74.30310406,19,f,1183.61509,0.077861818,1.7534205980000002,1.558566651,0,INDIVIDUAL,55,17,183278,4388,0
32226,9756,6092.50765,59,18.11670447,D,A3,RENT,93185.5454,Not Verified,25.53917117,0,0,10,0,7585,50.62964299,18,w,873.2978248,0.052228454,3.673273378,0.142727883,0,INDIVIDUAL,16,16,33414,1659,0
17379,8247,12725.47189,59,9.50682206,B,B2,MORTGAGE,61484.0192,Verified,34.96332124,0,0,25,0,15649,91.91100301,26,w,499.5807183,0.076662537,4.376147987,0.781150378,0,INDIVIDUAL,121,27,88511,10553,0
19408,17281,10636.3916,59,11.15396703,B,C3,MORTGAGE,37087.34921,Source Verified,15.49726944,1,0,11,0,3115,51.83555802,26,f,616.1134857000001,0.075255487,1.4606795540000002,0.57692949,0,INDIVIDUAL,106,38,131312,3798,0
22912,22338,19817.67168,59,6.509080627,C,D5,OWN,68014.8057,Source Verified,21.40301556,0,0,7,0,3613,46.33815679,18,w,677.3409026,0.043231821,4.128349749,0.541458202,0,INDIVIDUAL,83,23,33910,23585,0
10179,15879,7263.673453,59,11.81913499,A,D4,MORTGAGE,52299.76318,Source Verified,7.605119729,0,0,11,0,14326,81.05824722,29,w,325.92341689999995,0.015532245,2.342356656,0.554647087,0,INDIVIDUAL,57,32,9261,10290,1
4838,21809,13384.59266,58,6.513681648,B,D2,MORTGAGE,86229.89002,Verified,12.99357349,0,0,11,0,7279,38.01747515,20,w,1539.697388,0.103475108,0.882036913,0.686858035,0,INDIVIDUAL,74,19,111185,17226,0
30672,23006,22329.53777,58,11.60554173,B,E3,MORTGAGE,51088.09802,Verified,20.89226781,0,0,16,0,7708,70.52221208,17,w,1840.406322,0.0046453679999999,1.379923505,1.158619453,0,INDIVIDUAL,64,1092,321667,34097,0
12132,24483,12054.62142,58,5.490374833,C,B1,MORTGAGE,33691.403439999995,Source Verified,24.57944288,1,0,29,0,5747,86.01935867,5,f,94.39517729,0.0270919679999999,0.834867356,0.053878265,0,INDIVIDUAL,131,41,47583,11252,0
9923,11232,17377.801069999998,59,19.39734742,B,C1,MORTGAGE,65934.08223,Not Verified,27.20886571,0,0,34,0,10796,42.17535626,29,f,2073.690483,0.032735609,3.887655047,0.5779356170000001,0,INDIVIDUAL,66,1717,91603,33946,0
19785,11084,12146.713,59,10.57413189,C,C2,MORTGAGE,46983.388060000005,Not Verified,32.79600216,0,0,7,2,16953,1.422129095,4,w,791.2262362,13.92963155,0.605864408,1.048993352,0,INDIVIDUAL,124,24,10171,1823,0
17108,10502,9339.887163,58,14.45068987,D,B1,OWN,117158.817,Not Verified,16.97983945,0,0,15,0,31427,5.160197329,17,f,435.6165489,0.089820663,3.880495095,1.158391307,0,INDIVIDUAL,54,47,243615,12054,0
16266,10323,12770.12235,59,10.92912995,B,A4,MORTGAGE,192703.0863,Source Verified,36.18948889,0,0,12,0,3141,18.82969247,29,w,1580.13026,0.042181971,7.538780279,0.8685158279999999,0,INDIVIDUAL,10,18,14557,14351,0
21664,15498,16796.25435,58,16.0310293,C,A4,MORTGAGE,24568.9548,Not Verified,22.58964915,1,0,13,0,38009,56.28979766,18,w,3871.559679,0.02359527,4.257204833,0.6159063610000001,0,INDIVIDUAL,66,35,57067,16617,0
27387,6625,10227.07201,58,18.39453552,G,B5,MORTGAGE,125152.5176,Not Verified,20.79479397,0,0,9,0,3824,1.0385322540000002,18,f,351.183876,0.075909508,4.945118625,0.61158973,0,INDIVIDUAL,34,1717,57201,28973,0
19684,19975,30431.168380000003,59,10.44626431,A,B1,RENT,50910.8552,Source Verified,15.08862303,1,0,8,0,9943,68.36317734,11,w,465.4128805,0.091125433,4.414763195,0.673804568,0,INDIVIDUAL,50,31,25649,28070,0
3719,1931,12385.39209,58,12.83169707,C,C3,RENT,108141.7963,Verified,25.26724262,0,0,11,0,3297,6.86709802,26,f,417.968909,0.049683015,4.794322395,0.638499782,0,INDIVIDUAL,68,49,259191,8549,0
20225,5875,16509.99126,36,7.156818436,E,C1,OWN,67290.81644,Not Verified,21.84244534,0,0,12,0,1534,24.42738152,17,w,830.6224067,0.0169337689999999,4.2557218180000005,0.358651924,0,INDIVIDUAL,49,25,55274,17368,0
6114,7945,11117.57138,58,17.34559295,C,D2,MORTGAGE,89565.39094,Not Verified,36.92629085,0,0,15,0,4562,34.14067524,25,f,1342.849885,0.084588532,2.103533871,0.434762391,0,INDIVIDUAL,74,25,142782,33295,0
2305,6958,12346.87868,59,13.28489643,C,B3,RENT,144226.5644,Source Verified,29.51238904,0,0,10,0,1520,89.07734353,14,w,2063.984851,0.101238741,4.508589684,0.5429599279999999,0,INDIVIDUAL,72,50,92844,15751,1
27933,7759,16110.6157,59,6.284490524,D,B3,RENT,121532.027,Verified,22.52107963,1,0,4,0,7593,43.32700073,34,w,3192.640762,0.039862951,0.086802885,0.255386784,0,INDIVIDUAL,74,46,155218,22171,0
5876,13296,9000.840962,58,11.45523455,C,C2,MORTGAGE,72938.04062999999,Not Verified,12.47340861,1,1,13,0,4303,45.80290170000001,19,f,290.78496010000003,0.003846887,7.579301627,0.320165404,0,INDIVIDUAL,52,495,304834,11130,0
19140,31514,10407.55859,59,11.88285855,C,D1,MORTGAGE,41535.94516,Source Verified,7.877590783,0,0,13,0,11793,15.2948742,10,f,3877.397079,0.084137949,4.948333967,1.119425167,0,INDIVIDUAL,19,11,211229,9719,0
12869,32460,11510.62467,58,14.0036595,A,C4,OWN,52600.39177,Source Verified,16.42891305,0,0,15,0,3264,74.08787048,20,w,3394.858619,0.072167371,3.009797589,1.20753419,0,INDIVIDUAL,17,52,243437,57923,0
20000,9170,11844.41555,59,11.3432023,B,E4,RENT,69405.98913999999,Verified,39.35902877,0,0,11,0,74,39.29769449,13,w,1280.9816,0.02193422,0.457170947,35.63526429,0,INDIVIDUAL,10,50,89046,11231,0
1823,7190,17128.9455,59,8.888416984,B,B1,OWN,36358.62935,Not Verified,30.89013477,0,0,12,0,2357,61.3187703,23,f,6960.104026999999,0.000673153,5.033994957,1.16365697,0,INDIVIDUAL,141,35,32397,5409,0
21879,10875,6100.446795000001,58,13.36469689,B,B4,MORTGAGE,128776.9592,Source Verified,38.50993745,0,0,13,0,2034,83.48607925,20,w,936.187792,0.0077730169999999,5.511672883999999,0.909620426,0,INDIVIDUAL,38,16,36280,6405,0
5479,19687,13683.54311,59,14.19750716,C,B2,MORTGAGE,76855.55057,Verified,7.210553252,0,0,12,0,4640,38.23512513,22,f,3377.201771,0.013004257,2.829501815,0.926957456,0,INDIVIDUAL,78,37,76684,18942,0
10167,4473,6037.907025,59,11.07373939,D,A5,RENT,44943.32853,Verified,38.19163036,0,0,9,0,2129,70.84954776,8,f,1961.288679,0.057232375,1.557682391,1.146478743,0,INDIVIDUAL,74,23,67426,39194,0
4799,26205,10540.83844,58,8.871489216,A,C3,RENT,61314.313,Verified,35.57820653,0,0,11,0,12640,37.94041316,9,w,9839.233907,0.045957051,2.928721914,0.882058537,0,INDIVIDUAL,28,18,276307,43345,1
20888,33728,9043.668493,59,16.37594088,C,E2,OWN,163019.2735,Verified,19.9338881,0,0,10,0,5224,67.03584835,18,f,4087.54988,0.062062426,4.68962738,0.5653859720000001,0,INDIVIDUAL,30,14,178537,57163,0
8111,24118,21773.97649,59,14.77414203,C,B2,MORTGAGE,27392.10917,Source Verified,19.41621941,0,0,14,0,5273,52.05084188,11,f,125.1234661,4.401535387,1.6838401509999998,0.2765021569999999,0,INDIVIDUAL,46,321,160443,22868,0
17585,16129,6857.486633,59,9.930783951,B,A5,MORTGAGE,56612.75525,Source Verified,29.3500674,0,0,33,0,4012,54.80445207,24,w,331.4453762,0.0431166459999999,6.598090713,0.917765845,0,INDIVIDUAL,97,35,256200,46677,0
29552,17475,20909.84789,58,16.57196299,A,D5,MORTGAGE,170718.6394,Not Verified,20.26615693,0,0,22,0,5018,50.05084776,8,f,2637.401747,0.042526098,5.269213499,0.1503847459999999,0,INDIVIDUAL,70,25,211889,5056,0
18406,31193,9854.453338,59,11.74622445,E,C4,MORTGAGE,54764.4086,Source Verified,24.02661319,2,0,8,0,10830,55.99346958,18,f,507.9866231000001,0.04339147,2.719163464,1.250949054,0,INDIVIDUAL,15,44,26537,27944,0
1426,20724,10520.21972,59,12.49073687,D,D1,RENT,73220.70588,Source Verified,29.64595701,0,0,11,0,3266,80.39943575,39,w,4375.134697,0.002502162,0.579474995,0.790320936,0,INDIVIDUAL,55,53,99872,3760,0
19034,7800,9207.727021,59,11.16784039,C,B4,RENT,51005.37247,Not Verified,26.71303093,0,0,11,0,2184,68.18239961,19,w,247.7697508,0.030025281,5.023079141,1.084516312,0,INDIVIDUAL,85,40,13265,24302,1
15028,12362,33462.85853,59,10.39421533,A,G1,MORTGAGE,144135.69400000002,Not Verified,20.21667271,0,0,14,0,123,35.07296821,23,f,3608.159684,0.027933712,4.54882397,1.528947836,0,INDIVIDUAL,105,36,211227,28911,0
31543,4182,23705.0882,59,12.23858837,C,B3,RENT,148147.5841,Source Verified,14.65404671,0,0,18,0,1278,66.59571513,11,w,1950.634016,0.1156496769999999,4.791220302,0.921834384,0,INDIVIDUAL,126,280,85504,9585,0
20034,16683,13231.99256,59,8.849354876,B,B2,RENT,150117.6342,Source Verified,15.68068978,0,2,13,0,3584,50.57860175,28,w,1959.261482,0.066807733,2.198749001,0.8629671990000001,0,INDIVIDUAL,0,43,24214,4483,0
26646,4072,12486.81891,59,9.736917168,C,A3,MORTGAGE,87453.406,Verified,24.22120235,0,0,18,0,22977,65.32625084,9,w,483.3877561000001,0.003473012,5.499992952,0.6834812229999999,0,INDIVIDUAL,94,45,205746,10486,0
27783,7353,11602.00024,58,9.686004291,A,D4,RENT,40897.46438,Verified,17.74486047,2,0,14,0,23036,59.32820131,15,f,8766.585348999999,0.083960893,3.978776435,0.664118058,0,INDIVIDUAL,73,23,137174,30576,0
29718,11377,2462.557205,59,9.922866725,C,B5,RENT,72744.90643999999,Source Verified,36.481548700000005,0,0,24,0,9204,58.74843593,16,w,2267.014755,0.0973923159999999,1.431143921,1.359768014,0,INDIVIDUAL,72,6,88661,27218,0
6217,21968,10189.38409,59,10.1851895,C,C5,OWN,187477.3081,Source Verified,31.76265734,0,0,13,0,10577,80.87964032,11,f,1490.655119,0.017616027,1.360650228,0.004229399,0,INDIVIDUAL,150,36,56579,61286,0
25906,10398,23214.98395,59,17.30921654,C,A3,MORTGAGE,122793.9488,Source Verified,14.15310216,1,0,9,0,18085,52.91619564,8,w,298.87978060000006,0.025806566,3.110551104,0.230623938,0,INDIVIDUAL,75,27,49915,75469,0
15804,10354,23226.077,59,9.406244169,C,D1,MORTGAGE,171599.6582,Source Verified,13.83188875,0,1,10,0,45,74.37420024,10,w,1196.324941,0.0488709409999999,3.506307933,1.4479582169999998,0,INDIVIDUAL,109,14,125148,9875,0
16690,30014,9515.235703,58,11.05966783,C,F1,MORTGAGE,109051.1096,Source Verified,13.10365884,0,0,29,0,8319,21.73169884,19,w,1072.932246,0.06191675,2602.896677,0.019051516,0,INDIVIDUAL,154,5,138038,4098,0
8498,14734,9802.922935,58,11.68063771,C,D1,MORTGAGE,98029.93059,Source Verified,19.66727674,0,0,12,0,5760,56.09609156,35,w,937.7145695,0.018011362,4.310982879,0.180996712,0,INDIVIDUAL,10,20,201782,14328,1
8503,8809,13013.27441,59,9.646359456,C,C4,RENT,61856.12303,Not Verified,17.93488107,0,0,18,0,385,48.29086595,9,w,1392.219558,0.103611811,5.996399174,0.170504241,0,INDIVIDUAL,127,46,215603,9349,0
18202,13230,25896.79321,59,5.645189694,D,A1,RENT,364566.1275,Source Verified,18.61278664,0,0,12,1,3981,90.38538579,16,w,6226.491171,0.0389335789999999,4.491633124,0.8487173090000001,0,INDIVIDUAL,46,54,56146,1092,0
20210,16100,7385.440686,59,5.725171514,G,E3,RENT,194668.0688,Source Verified,31.9149336,0,0,9,0,2493,42.42784354,29,w,2387.167415,0.01774138,3.788846044,0.031476159,1,INDIVIDUAL,135,45,480528,24567,0
9389,14174,13783.31999,58,15.11251303,B,A3,MORTGAGE,108880.1035,Verified,18.58046383,3,0,8,0,4402,51.30605049,17,w,2115.935632,0.059587564,2.081179346,0.177907924,0,INDIVIDUAL,6,49,148827,3266,0
23943,12751,20923.91471,36,12.29668375,E,D1,RENT,51938.858660000005,Verified,18.69205545,0,0,9,1,7038,80.31096174,14,w,1115.97475,0.116801025,3.749872839,0.7053332290000001,0,INDIVIDUAL,13,36,362255,15461,1
16801,11826,14216.200180000002,58,8.204333041,B,B1,MORTGAGE,214329.0569,Source Verified,18.6758469,1,0,11,0,7794,64.51527359,20,w,1509.437176,0.028945339,2.286800652,0.117786164,1,INDIVIDUAL,44,34,220286,9606,0
14129,10210,12086.81438,59,21.31324006,A,C4,OWN,61941.53595,Verified,26.42735269,0,0,7,0,4972,18.49854318,19,w,1370.713608,0.067315147,2.905010068,1.244120547,0,INDIVIDUAL,94,21,131185,21089,0
20668,26259,31478.791360000003,59,12.9685677,C,B2,RENT,79047.4965,Source Verified,19.7787348,0,0,25,0,15394,75.48971944,30,f,3014.335766,0.058909495,2.642872636,0.665709012,0,INDIVIDUAL,122,45,83900,2863,0
21681,34845,11884.40606,59,9.886366457,B,E1,MORTGAGE,42218.58651,Source Verified,10.48084034,0,0,16,0,316,58.06036452,18,w,1185.960616,0.0610234059999999,8.16099176,0.284885024,0,INDIVIDUAL,12,34,31946,6812,0
1667,8320,16444.615840000002,59,8.673167751,A,B3,OWN,170564.6097,Not Verified,33.29072775,1,0,27,0,2317,38.74840762,49,f,413.1528311,0.021527901,4.105361988,1.068419327,0,INDIVIDUAL,5,24,195890,27320,1
30629,9331,10930.70612,59,10.96213255,B,A3,RENT,24627.28289,Not Verified,25.89705524,0,1,24,0,27606,9.42600004,22,f,2206.69925,0.010926442,3.27120347,0.581039903,0,INDIVIDUAL,33,31,77563,28609,0
21508,16282,21039.48199,58,12.29346653,B,A5,MORTGAGE,124928.5902,Source Verified,19.05082593,2,0,35,0,16867,49.26571495,11,w,239.4566389,0.038623863,3.882697008,0.503570914,0,INDIVIDUAL,82,523,46118,56513,0
21369,9497,21949.9778,59,9.991466579,E,C2,MORTGAGE,72994.40426,Not Verified,13.88704129,0,0,11,0,12587,25.75099147,6,f,619.2442762000001,0.060421782,2.431939857,0.3075916139999999,0,INDIVIDUAL,120,39,42421,4107,0
16376,7331,14444.52455,58,10.68057297,D,B1,OWN,63256.05044,Not Verified,9.990670045,0,0,9,0,4847,81.53831207,6,f,144.34665780000003,0.039754381,2.749475865,0.247742038,0,INDIVIDUAL,72,56,293532,35381,0
25499,9210,21304.45066,59,16.99848071,C,D5,MORTGAGE,74164.19976,Verified,29.6023603,0,1,29,0,6719,69.93354226,13,f,343.802997,0.003563703,1570.106018,1.467867078,0,INDIVIDUAL,53,21,184818,5268,0
14374,8805,21705.16781,58,10.09000531,B,B4,RENT,46784.09042,Source Verified,37.52176978,0,0,10,0,670,70.25250757,6,f,1484.2011289999998,0.08568815,2.651854311,1.369864976,0,INDIVIDUAL,145,26,51477,1018,0
7434,29806,10642.10843,58,14.77647294,B,D1,OWN,119813.2432,Source Verified,31.71823385,0,0,24,0,1500,52.65212735,20,f,3494.146068,29.15293157,0.486313944,0.603932037,0,INDIVIDUAL,18,54,18262,16158,0
12698,7942,5319.985504,59,10.55334436,A,C4,MORTGAGE,170333.9686,Source Verified,35.66451134,0,0,30,4,331,87.65436789,6,w,918.2931441,0.079367559,2208.5102100000004,0.491974266,0,INDIVIDUAL,62,41,74407,5691,0
7602,5588,19798.13375,58,14.84886641,F,F1,RENT,81603.96168,Not Verified,19.44803349,0,0,10,0,11610,7.05110169,24,w,2213.790562,0.087922217,4.322619668,0.180663095,0,INDIVIDUAL,141,58,168944,3818,0
20281,29391,19431.46652,59,16.99803181,C,C4,RENT,84816.69863,Source Verified,29.07112441,0,0,9,0,14810,62.2287728,15,f,145.30195590000002,16.56546404,1.122005508,0.426451637,0,INDIVIDUAL,39,1293,22757,76085,0
31693,6938,26337.20281,59,10.83417663,A,A1,RENT,75603.88928999999,Source Verified,28.76850162,0,0,11,0,1305,31.86188645,5,w,1404.505003,0.040456874,5.462320651000001,0.586376075,0,INDIVIDUAL,138,15,179944,2083,0
19895,10617,8611.109575,58,9.842468793,E,B1,RENT,71227.26099,Verified,12.4670386,1,0,9,0,3105,35.03674269,12,f,3872.287562,0.067055591,2.624815327,1.151118172,0,INDIVIDUAL,13,33,728252,9133,0
30417,8701,8369.426909,59,8.306534577,B,A1,MORTGAGE,28526.8073,Source Verified,22.52833554,0,2,10,0,638,21.88672595,29,f,2469.494308,0.016207849,6.626717662999999,1.260267569,0,INDIVIDUAL,96,54,7868,10448,0
14955,23990,10338.59728,59,7.391784037000001,A,B1,MORTGAGE,51838.36352,Source Verified,8.354927347,0,2,11,0,13030,95.24790331,18,w,1105.844151,0.110008938,2.328407401,0.424136384,0,INDIVIDUAL,29,29,129132,24853,0
25517,12970,10022.75831,59,14.92201212,B,A1,MORTGAGE,66723.95272,Not Verified,33.55901952,0,0,13,0,9415,62.28417381,41,w,378.5468108,0.015524091,0.2507366789999999,0.407237857,0,INDIVIDUAL,81,36,98717,39779,0
9429,16879,14263.237030000002,59,16.02099652,D,B3,MORTGAGE,37707.39243,Source Verified,24.20222059,0,0,13,0,2273,46.08793754,20,w,3045.415237,0.033229297,3.5707458460000003,1.039401203,0,INDIVIDUAL,54,456,299857,126489,0
13385,13630,5467.891608,58,12.6220311,E,C2,MORTGAGE,58263.642510000005,Not Verified,36.75687139,0,0,10,0,2621,54.10584069,12,f,1411.060491,0.06556516,8.708007147,0.4537180779999999,0,INDIVIDUAL,154,13,32548,5975,0
16310,10357,8178.504433,59,6.292351192999999,B,A2,MORTGAGE,79993.4574,Source Verified,31.63696393,0,0,12,0,15326,36.23752348,22,w,149.6925341,0.042152471,4.234398766,1.188705173,0,INDIVIDUAL,95,58,469979,10503,0
30199,13660,16537.78971,59,16.02514277,B,D3,RENT,142059.2851,Verified,22.74143563,0,0,30,0,15938,60.83898411,12,w,580.6465383999999,0.018836456,0.513128039,1.212217242,0,INDIVIDUAL,33,53,42870,16802,0
12475,32880,4860.856257,58,13.9312731,C,D2,OWN,65421.60592,Not Verified,34.66589563,0,0,15,0,24,90.00720981,5,f,526.3505075,0.028784445,1.764204809,0.979466072,0,INDIVIDUAL,62,1186,141252,1307,0
8655,10491,11130.39842,59,12.02352137,B,D3,MORTGAGE,57247.79297,Source Verified,32.90930245,0,0,13,0,2944,43.82604637,8,w,528.3772673999999,0.0525878,2.54756334,0.932523056,0,INDIVIDUAL,121,53,24532,3849,0
20821,8947,12758.08269,58,9.440161776,B,B5,MORTGAGE,21343.22158,Source Verified,13.46848247,2,0,13,0,2099,53.36570361,13,f,4023.12902,0.032940824,4.081101945,1.322801181,0,INDIVIDUAL,72,42,187795,13818,1
8930,7393,6549.638701,59,15.08701671,F,B5,RENT,67861.90997000001,Verified,14.70231,0,0,23,0,4455,19.32759162,25,f,1763.818983,0.008150941,6.554900353,1.127338183,0,INDIVIDUAL,48,47,190672,12952,0
7734,4364,11075.02683,59,9.952240385,G,C2,MORTGAGE,108597.3551,Source Verified,33.57203459,0,0,13,0,3700,88.47919870000001,18,w,399.3359193,0.041136156,5.225706624,0.3370905529999999,0,INDIVIDUAL,159,18,152985,32541,0
