Employment Length,Zip Code,BAD,Amount Requested,Loan Title,State
10+ years,974xx,0,12500.0,Debt consolidation,OR
2 years,017xx,0,6025.0,Debt consolidation,MA
8 years,760xx,0,15000.0,Credit card refinancing,TX
10+ years,077xx,0,10000.0,Debt consolidation,NJ
10+ years,983xx,0,3500.0,Major purchase,WA
3 years,483xx,1,8000.0,Bills,MI
< 1 year,981xx,0,13000.0,Recently Divorced Looking For a Fresh Start,WA
3 years,884xx,0,12000.0,truck,NM
2 years,622xx,0,11100.0,Credit card refinancing,IL
10+ years,121xx,1,30000.0,Debt consolidation,NY
< 1 year,480xx,1,10000.0,Credit card refinancing,MI
10+ years,326xx,1,15000.0,Debt consolidation,FL
2 years,152xx,0,10800.0,Credit card refinancing,PA
10+ years,207xx,0,35000.0,Debt consolidation,MD
8 years,840xx,1,16200.0,Debt consolidation,UT
< 1 year,349xx,0,23550.0,Debt consolidation,FL
3 years,530xx,1,20125.0,Credit card refinancing,WI
10+ years,104xx,0,3000.0,Other,NY
10+ years,989xx,0,12500.0,Debt consolidation,WA
9 years,114xx,1,15000.0,Debt consolidation,NY
10+ years,591xx,1,2475.0,Debt consolidation,MT
10+ years,130xx,1,4500.0,Debt consolidation,NY
2 years,775xx,0,1200.0,Other,TX
10+ years,302xx,1,25825.0,Debt consolidation,GA
10+ years,019xx,0,6025.0,Debt consolidation,MA
3 years,945xx,0,13150.0,Debt consolidation,CA
9 years,926xx,0,28000.0,Debt consolidation,CA
10+ years,928xx,0,17500.0,Chase is killing me.,CA
8 years,190xx,0,6500.0,Credit card refinancing,PA
4 years,961xx,0,5000.0,Other,CA
10+ years,173xx,0,30000.0,Debt consolidation,PA
10+ years,120xx,0,15000.0,Consolidation Loan,NY
4 years,752xx,1,13200.0,Business,TX
10+ years,104xx,0,8000.0,Debt consolidation,NY
5 years,462xx,1,9600.0,Debt consolidation,IN
10+ years,785xx,0,7000.0,Credit card refinancing,TX
2 years,926xx,0,5500.0,Credit card refinancing,CA
4 years,141xx,0,12000.0,Debt consolidation,NY
10+ years,808xx,0,12925.0,Debt consolidation,CO
10+ years,874xx,0,15000.0,Debt consolidation,NM
3 years,221xx,0,7500.0,Debt consolidation,VA
2 years,785xx,1,10000.0,Debt consolidation,TX
9 years,908xx,0,5000.0,Credit card refinancing,CA
4 years,301xx,1,10000.0,Debt consolidation,GA
10+ years,751xx,1,5000.0,Other,TX
4 years,148xx,1,10000.0,Debt consolidation,NY
10+ years,604xx,0,2300.0,Major purchase,IL
4 years,953xx,0,11000.0,Debt consolidation,CA
8 years,794xx,1,9600.0,Debt consolidation,TX
4 years,115xx,0,15000.0,Debt consolidation,NY
10+ years,851xx,1,11750.0,Debt Consolidation Loan,AZ
7 years,601xx,0,27000.0,Debt consolidation,IL
5 years,668xx,1,8125.0,Debt Consolidation,KS
2 years,330xx,0,12250.0,Major purchase,FL
5 years,016xx,0,10000.0,Major purchase,MA
3 years,132xx,0,5000.0,Home improvement,NY
3 years,614xx,0,24000.0,Debt consolidation,IL
5 years,600xx,0,8800.0,Credit card refinancing,IL
3 years,088xx,1,15000.0,leave mistakes behind,NJ
7 years,088xx,0,16000.0,Credit Refinance ,NJ
< 1 year,656xx,0,7000.0,Major purchase,MO
10+ years,381xx,1,10000.0,Home improvement,TN
3 years,928xx,0,30000.0,Debt consolidation,CA
3 years,681xx,0,5000.0,Debt consolidation,NE
10+ years,082xx,0,5000.0,Other,NJ
5 years,780xx,0,17000.0,Debt consolidation,TX
10+ years,104xx,0,4200.0,Credit card refinancing,NY
10+ years,711xx,0,15000.0,Business,LA
8 years,870xx,0,14075.0,Home improvement,NM
5 years,281xx,0,11700.0,Credit card refinancing,NC
< 1 year,941xx,0,19750.0,Wedding Expenses,CA
6 years,912xx,0,8000.0,Credit card refinancing,CA
3 years,060xx,0,10800.0,Debt consolidation,CT
10+ years,170xx,0,15000.0,Debt consolidation,PA
1 year,604xx,0,9000.0,personal,IL
2 years,550xx,1,20000.0,Debt consolidation,MN
10+ years,731xx,0,20425.0,Debt consolidation,OK
9 years,330xx,0,13000.0,Debt consolidation,FL
10+ years,117xx,0,25000.0,Debt consolidation,NY
7 years,328xx,0,4500.0,credit card consolidation,FL
6 years,871xx,0,25000.0,Help Me,NM
10+ years,973xx,0,8000.0,Debt consolidation,OR
3 years,600xx,1,26825.0,Other,IL
10+ years,300xx,0,10000.0,Home improvement,GA
6 years,953xx,0,12800.0,Home improvement,CA
3 years,068xx,0,16000.0,Credit card refinancing,CT
10+ years,239xx,1,21850.0,Debt consolidation,VA
10+ years,921xx,1,20000.0,Other,CA
2 years,023xx,0,6025.0,Other,MA
3 years,967xx,1,6000.0,Credit card refinancing,HI
4 years,853xx,1,12000.0,Home improvement,AZ
1 year,946xx,0,24000.0,Debt consolidation,CA
< 1 year,064xx,1,5400.0,Credit card refinancing,CT
5 years,894xx,1,5000.0,Medical expenses,NV
9 years,334xx,1,6000.0,Car financing,FL
10+ years,220xx,0,35000.0,Credit card refinancing,VA
3 years,056xx,0,12000.0,Debt consolidation,VT
10+ years,941xx,0,8400.0,Credit card refinancing,CA
10+ years,852xx,0,20000.0,Debt consolidation,AZ
< 1 year,349xx,0,35000.0,Credit card refinancing,FL
8 years,840xx,0,8000.0,Car financing,UT
< 1 year,770xx,0,10000.0,Debt consolidation,TX
10+ years,894xx,0,10800.0,Credit card refinancing,NV
6 years,948xx,0,3500.0,Debt consolidation,CA
2 years,902xx,0,21600.0,Debt consolidation,CA
10+ years,631xx,1,17000.0,home beautification,MO
10+ years,371xx,0,11100.0,payoffsomedebt,TN
3 years,212xx,0,10000.0,card refi,MD
2 years,200xx,0,9000.0,More Interest 4 You - Less Interest 4 Me,DC
< 1 year,272xx,1,16450.0,Debt consolidation,NC
< 1 year,100xx,0,12000.0,Debt consolidation,NY
2 years,604xx,0,15000.0,Debt consolidation,IL
10+ years,478xx,0,7500.0,Debt consolidation,IN
10+ years,956xx,0,12000.0,Debt consolidation,CA
5 years,495xx,0,20000.0,Debt consolidation,MI
5 years,666xx,0,13000.0,Credit card refinancing,KS
5 years,315xx,0,9325.0,equipment purchase,GA
4 years,873xx,1,8000.0,Medical expenses,NM
10+ years,088xx,0,18000.0,Loan Consolidation,NJ
10+ years,971xx,0,18000.0,Debt consolidation,OR
5 years,430xx,0,6000.0,Debt consolidation,OH
10+ years,774xx,0,24000.0,Business,TX
4 years,496xx,0,18000.0,Debt consolidation,MI
1 year,921xx,0,28000.0,Debt consolidation,CA
2 years,958xx,0,18000.0,Credit card refinancing,CA
10+ years,604xx,0,7200.0,Debt consolidation,IL
5 years,945xx,0,11325.0,Consolidate,CA
10+ years,933xx,0,9600.0,Debt consolidation,CA
10+ years,029xx,0,29500.0,Debt consolidation,RI
10+ years,923xx,0,10000.0,Debt consolidation,CA
3 years,908xx,0,11200.0,Credit card refinancing,CA
8 years,600xx,0,14000.0,Other,IL
3 years,371xx,1,30000.0,Debt consolidation,TN
1 year,760xx,1,30800.0,Debt consolidation,TX
< 1 year,184xx,0,4500.0,Credit card refinancing,PA
8 years,954xx,0,12000.0,Debt consolidation,CA
7 years,923xx,0,16000.0,Debt consolidation,CA
10+ years,773xx,1,35000.0,Medical expenses,TX
5 years,551xx,0,6000.0,Credit card refinancing,MN
4 years,207xx,1,10000.0,Debt consolidation,MD
3 years,773xx,0,35000.0,Debt consolidation,TX
10+ years,481xx,1,16800.0,Debt consolidation,MI
10+ years,560xx,1,20225.0,Debt consolidation,MN
6 years,480xx,0,12000.0,DEBT CON,MI
10+ years,750xx,0,12900.0,Debt consolidation,TX
< 1 year,925xx,0,5000.0,Moving and relocation,CA
10+ years,051xx,0,7000.0,Debt consolidation,VT
6 years,940xx,0,25000.0,Medical expenses,CA
8 years,088xx,0,15000.0,Other,NJ
10+ years,338xx,0,9750.0,Debt Consolidation,FL
< 1 year,528xx,1,7500.0,Social Worker with Impeccable History,IA
10+ years,981xx,0,20000.0,Business,WA
< 1 year,902xx,0,3600.0,Moving Loan,CA
10+ years,891xx,0,3000.0,Other,NV
10+ years,600xx,0,10000.0,Credit card refinancing,IL
10+ years,077xx,0,9000.0,Debt consolidation,NJ
10+ years,553xx,0,14400.0,Credit card refinancing,MN
< 1 year,601xx,1,15000.0,Debt consolidation,IL
9 years,891xx,0,7000.0,Credit card refinancing,NV
5 years,941xx,0,16800.0,Other,CA
< 1 year,750xx,0,5000.0,Consolidation,TX
4 years,945xx,0,15000.0,Debt consolidation,CA
3 years,600xx,0,25000.0,Debt consolidation,IL
10+ years,442xx,0,8000.0,Credit card refinancing,OH
5 years,430xx,0,17000.0,Credit card refinancing,OH
2 years,303xx,0,24000.0,Classic Car Loan,GA
10+ years,106xx,1,30000.0,Debt consolidation,NY
5 years,152xx,0,5000.0,Credit card refinancing,PA
10+ years,178xx,0,10000.0,Debt consolidation,PA
2 years,112xx,0,12025.0,Debt consolidation,NY
8 years,019xx,0,30000.0,Debt consolidation,MA
10+ years,287xx,0,14400.0,Home improvement,NC
4 years,320xx,0,25000.0,Debt consolidation,FL
1 year,212xx,1,20800.0,Credit card refinancing,MD
6 years,284xx,0,28000.0,Credit card refinancing,NC
10+ years,276xx,0,5250.0,Solidate,NC
4 years,309xx,0,12000.0,Home improvement,GA
10+ years,207xx,1,28625.0,Debt consolidation,MD
8 years,130xx,0,10000.0,MyFuture,NY
7 years,350xx,0,29700.0,Business,AL
< 1 year,481xx,0,20000.0,Debt consolidation,MI
5 years,302xx,0,6000.0,Other,GA
9 years,935xx,0,10000.0,Debt consolidation,CA
6 years,024xx,0,14000.0,Debt Consolidation,MA
3 years,100xx,0,4800.0,Credit card refinancing,NY
10+ years,329xx,0,19000.0,Debt consolidation,FL
10+ years,750xx,1,10150.0,Debt consolidation,TX
10+ years,190xx,1,26750.0,Debt consolidation,PA
10+ years,210xx,0,32650.0,Credit card refinancing,MD
10+ years,023xx,0,7000.0,Credit card refinancing,MA
2 years,950xx,0,3000.0,Debt consolidation,CA
9 years,774xx,0,8000.0,Debt consolidation,TX
10+ years,535xx,0,5000.0,Car financing,WI
< 1 year,840xx,0,14825.0,Debt consolidation,UT
7 years,065xx,0,3875.0,Debt consolidation,CT
10+ years,105xx,0,1200.0,Credit card refinancing,NY
10+ years,767xx,1,8000.0,Other,TX
9 years,287xx,0,13000.0,Debt consolidation,NC
10+ years,795xx,0,8150.0,2012 Debt Consolidation,TX
10+ years,774xx,0,25000.0,Debt consolidation,TX
1 year,330xx,0,7000.0,Debt Consolidation Loan,FL
8 years,276xx,1,23850.0,Debt Consolidation,NC
< 1 year,531xx,0,14000.0,Home improvement,WI
2 years,852xx,0,5750.0,Debt consolidation,AZ
3 years,926xx,0,15000.0,Credit card refinancing,CA
10+ years,272xx,0,20000.0,Debt consolidation,NC
1 year,720xx,0,11000.0,Debt consolidation,AR
< 1 year,907xx,0,8000.0,Credit card refinancing,CA
3 years,916xx,0,20000.0,Other,CA
3 years,750xx,0,4000.0,Credit card refinancing,TX
2 years,431xx,0,6000.0,Debt consolidation,OH
2 years,921xx,0,30000.0,Debt consolidation,CA
10+ years,941xx,1,12000.0,Credit card refinancing,CA
1 year,113xx,0,6000.0,Debt Consolidation,NY
< 1 year,600xx,0,26000.0,Debt Consolidation,IL
9 years,672xx,0,8500.0,Debt consolidation,KS
1 year,133xx,0,8000.0,Credit card refinancing,NY
5 years,908xx,0,4800.0,Debt free in 2011,CA
1 year,080xx,0,4000.0,Debt consolidation,NJ
6 years,378xx,0,6000.0,Debt consolidation,TN
10+ years,782xx,0,14000.0,Credit card refinancing,TX
10+ years,301xx,0,31000.0,Consolidation,GA
7 years,272xx,1,9600.0,Debt consolidation,NC
7 years,146xx,0,9000.0,Debt consolidation,NY
7 years,723xx,0,4000.0,Other,AR
8 years,300xx,0,5000.0,Home improvement,GA
10+ years,446xx,0,24000.0,Debt consolidation,OH
10+ years,180xx,1,12800.0,Credit card refinancing,PA
5 years,850xx,0,16000.0,Other,AZ
2 years,539xx,0,10000.0,Debt consolidation,WI
10+ years,917xx,1,21000.0,Debt consolidation,CA
< 1 year,300xx,0,18000.0,Wedding Load,GA
10+ years,618xx,0,15700.0,Debt consolidation,IL
9 years,180xx,0,35000.0,Credit card refinancing,PA
10+ years,917xx,0,35000.0,Credit card refinancing,CA
3 years,019xx,0,21600.0,Debt consolidation,MA
8 years,847xx,0,14000.0,Debt consolidation,UT
10+ years,357xx,0,4000.0,Credit card refinancing,AL
6 years,745xx,0,8000.0,Debt consolidation,OK
5 years,292xx,0,3000.0,Home improvement,SC
1 year,592xx,0,5600.0,Credit card refinancing,MT
5 years,076xx,0,15000.0,Moving and relocation,NJ
2 years,201xx,0,30000.0,Debt consolidation,VA
10+ years,115xx,1,15600.0,pay all debts,NY
< 1 year,926xx,0,6000.0,Moving and relocation,CA
10+ years,300xx,0,32000.0,Debt consolidation,GA
5 years,787xx,0,20000.0,Debt consolidation,TX
1 year,100xx,0,19775.0,Credit card refinancing,NY
7 years,773xx,0,11000.0,Credit card refinancing,TX
10+ years,104xx,1,20675.0,Business Loan,NY
10+ years,770xx,0,21600.0,Other,TX
6 years,782xx,1,14000.0,Debt consolidation,TX
10+ years,117xx,0,24000.0,Credit Card Consolidation,NY
9 years,190xx,1,24000.0,Debt consolidation,PA
10+ years,908xx,1,16000.0,Debt consolidation,CA
5 years,895xx,1,20000.0,Debt consolidation,NV
< 1 year,200xx,0,11100.0,Debt consolidation,DC
3 years,120xx,0,10800.0,Credit card refinancing,NY
< 1 year,981xx,0,28000.0,Down Payment Primary Residence ,WA
10+ years,280xx,0,33000.0,Debt consolidation,NC
2 years,177xx,0,4500.0,Debt consolidation,PA
1 year,056xx,0,4425.0,Debt consolidation,VT
1 year,070xx,0,12800.0,Debt consolidation,NJ
1 year,601xx,0,15000.0,Debt consolidation,IL
10+ years,860xx,0,18000.0,Credit card refinancing,AZ
< 1 year,836xx,0,28000.0,Debt consolidation,ID
10+ years,349xx,0,5550.0,Credit card refinancing,FL
1 year,112xx,0,2000.0,Debt consolidation,NY
7 years,064xx,0,16400.0,Debt consolidation,CT
10+ years,891xx,0,7000.0,Home improvement,NV
10+ years,347xx,1,22375.0,Debt consolidation,FL
5 years,018xx,1,10850.0,Medical expenses,MA
3 years,852xx,0,4800.0,Home improvement,AZ
10+ years,371xx,0,18000.0,Credit card refinancing,TN
7 years,941xx,0,22000.0,Credit card refinancing,CA
10+ years,329xx,1,20000.0,Debt consolidation,FL
8 years,115xx,0,28000.0,Consolidation loan,NY
5 years,770xx,0,20000.0,Credit card debt,TX
7 years,080xx,1,5000.0,Debt consolidation,NJ
4 years,980xx,0,15000.0,Personal Loan,WA
< 1 year,109xx,0,6000.0,Debt consolidation,NY
8 years,656xx,0,13600.0,CC Debt Consolidation,MO
10+ years,600xx,0,13750.0,Payoffdebt,IL
6 years,554xx,1,16800.0,Credit card refinancing,MN
10+ years,023xx,1,24000.0,biz loan,MA
6 years,930xx,0,20000.0,Debt consolidation,CA
8 years,207xx,0,1200.0,Major purchase,MD
1 year,905xx,0,15075.0,Debt consolidation,CA
7 years,019xx,0,12000.0,Credit card refinancing,MA
< 1 year,560xx,0,3150.0,Debt consolidation,MN
9 years,152xx,0,6000.0,Debt consolidation,PA
9 years,421xx,0,14525.0,Debt consolidation,KY
1 year,207xx,0,7200.0,Other,MD
< 1 year,296xx,0,4800.0,want to give myself a better future,SC
1 year,900xx,0,3000.0,Home improvement,CA
2 years,020xx,0,20000.0,Debt consolidation,MA
2 years,610xx,0,7000.0,Debt consolidation,IL
3 years,930xx,0,15000.0,Debt consolidation,CA
7 years,014xx,0,10000.0,Debt consolidation,MA
5 years,770xx,0,3000.0,Vacation,TX
4 years,368xx,0,20000.0,Debt consolidation,AL
3 years,223xx,0,35000.0,Credit card refinancing,VA
3 years,272xx,0,10000.0,Debt consolidation,NC
10+ years,441xx,0,16000.0,Debt consolidation,OH
2 years,770xx,1,8500.0,Credit card refinancing,TX
10+ years,486xx,0,4000.0,Credit card refinancing,MI
7 years,383xx,0,10000.0,Debt consolidation,TN
8 years,750xx,0,5500.0,Debt consolidation,TX
10+ years,325xx,0,21075.0,Debt consolidation,FL
10+ years,658xx,0,9500.0,Debt consolidation,MO
10+ years,117xx,0,15000.0,Debt consolidation,NY
4 years,600xx,0,18000.0,Debt consolidation,IL
1 year,761xx,0,11075.0,Debt consolidation,TX
1 year,331xx,0,5500.0,Revitalization Movement,FL
< 1 year,601xx,0,20000.0,Credit card refinancing,IL
2 years,179xx,0,8000.0,rv,PA
3 years,421xx,0,11500.0,Debt consolidation,KY
2 years,760xx,0,23000.0,Debt consolidation,TX
10+ years,492xx,1,25000.0,Major purchase,MI
< 1 year,750xx,0,14000.0,Debt consolidation,TX
3 years,921xx,0,22950.0,Debt consolidation,CA
10+ years,765xx,0,19000.0,Debt consolidation,TX
10+ years,460xx,0,6000.0,Loan,IN
10+ years,231xx,0,17000.0,Debt consolidation,VA
10+ years,672xx,0,5000.0,Credit card refinancing,KS
10+ years,284xx,0,28000.0,Debt consolidation,NC
4 years,280xx,0,12000.0,Debt consolidation,NC
7 years,923xx,0,13500.0,CC Consolidation,CA
1 year,700xx,1,21000.0,Free from debt,LA
10+ years,780xx,0,20000.0,Debt consolidation,TX
7 years,782xx,0,1200.0,Medical expenses,TX
10+ years,925xx,0,3550.0,Debt consolidation,CA
2 years,481xx,0,35000.0,Consolidation,MI
9 years,346xx,0,8400.0,Home buying,FL
5 years,917xx,1,35000.0,Debt consolidation,CA
4 years,432xx,0,35000.0,Debt consolidation,OH
10+ years,331xx,0,5000.0,Other,FL
2 years,462xx,0,28000.0,Consolodation,IN
2 years,017xx,0,18000.0,Debt consolidation,MA
2 years,113xx,0,9600.0,Debt consolidation,NY
< 1 year,913xx,0,7000.0,Debt consolidation,CA
10+ years,378xx,0,35000.0,Debt consolidation,TN
5 years,112xx,0,4800.0,Debt consolidation,NY
3 years,982xx,0,8000.0,Debt consolidation,WA
8 years,115xx,1,20000.0,Debt consolidation,NY
6 years,775xx,0,10000.0,Debt consolidation,TX
10+ years,851xx,0,20000.0,Debt consolidation,AZ
2 years,906xx,0,3000.0,Credit card refinancing,CA
7 years,548xx,0,2400.0,Credit card refinancing,WI
6 years,750xx,0,35000.0,Debt consolidation,TX
2 years,846xx,0,15550.0,Debt consolidation,UT
10+ years,207xx,1,15000.0,home improvement ,MD
10+ years,760xx,0,15800.0,Home-A-Loan,TX
10+ years,840xx,0,16000.0,Debt consolidation,UT
< 1 year,275xx,0,3000.0,Debt consolidation,NC
1 year,770xx,1,7000.0,Debt consolidation,TX
1 year,322xx,0,11000.0,Credit card refinancing,FL
< 1 year,328xx,0,5125.0,Debt consolidation,FL
3 years,114xx,0,10000.0,Debt consolidation,NY
3 years,380xx,0,10500.0,debt consolidation,TN
10+ years,242xx,0,10000.0,Debt consolidation,VA
2 years,662xx,0,12000.0,Debt Consolidation Loan,KS
2 years,112xx,0,5000.0,Debt consolidation,NY
5 years,852xx,0,2200.0,Debt consolidation,AZ
10+ years,070xx,0,4000.0,Debt consolidation,NJ
3 years,801xx,0,18000.0,Debt Consolidation,CO
10+ years,923xx,1,22425.0,Debt consolidation,CA
8 years,126xx,0,5000.0,Car financing,NY
3 years,730xx,0,25975.0,Credit card refinancing,OK
10+ years,711xx,0,5200.0,Debt consolidation,LA
5 years,320xx,0,11000.0,Debt consolidation,FL
3 years,852xx,0,15000.0,Debt consolidation,AZ
2 years,117xx,0,30000.0,Credit card refinancing,NY
< 1 year,774xx,1,40000.0,Debt consolidation,TX
5 years,270xx,0,3000.0,Home improvement,NC
3 years,927xx,0,9800.0,Credit card refinancing,CA
10+ years,954xx,0,7000.0,Home improvement,CA
1 year,902xx,0,28000.0,Debt consolidation,CA
10+ years,302xx,0,19200.0,Home improvement,GA
10+ years,430xx,0,16175.0,Debt consolidation,OH
10+ years,554xx,0,35000.0,Credit card refinancing,MN
7 years,300xx,0,19750.0,Business,GA
10+ years,341xx,0,8000.0,Payout,FL
3 years,547xx,0,5075.0,Debt consolidation,WI
7 years,270xx,1,18000.0,Debt consolidation,NC
7 years,021xx,0,19200.0,Debt consolidation,MA
6 years,129xx,0,10000.0,Debt consolidation,NY
4 years,800xx,0,24000.0,Debt consolidation,CO
3 years,911xx,0,35000.0,Debt consolidation,CA
10+ years,432xx,0,21000.0,Debt consolidation,OH
10+ years,913xx,0,4000.0,Debt consolidation,CA
1 year,174xx,0,1200.0,Debt consolidation,PA
1 year,840xx,0,12000.0,Debt consolidation,UT
< 1 year,140xx,1,12000.0,Home improvement,NY
2 years,328xx,0,4000.0,Baby Room,FL
2 years,951xx,1,5000.0,Other,CA
10+ years,285xx,0,24000.0,Debt consolidation,NC
10+ years,946xx,0,14000.0,Debt consolidation,CA
3 years,328xx,0,10625.0,Credit card refinancing,FL
10+ years,574xx,0,15000.0,Debt Consolidation 2013,SD
10+ years,100xx,0,7000.0,Other,NY
6 years,957xx,0,39200.0,Other,CA
10+ years,178xx,0,14000.0,Credit card refinancing,PA
< 1 year,606xx,0,3600.0,Debt consolidation,IL
< 1 year,853xx,0,14000.0,Debt consolidation,AZ
3 years,984xx,0,10500.0,Credit card refinancing,WA
2 years,604xx,0,14000.0,Debt consolidation,IL
10+ years,278xx,0,6500.0,Major purchase,NC
2 years,770xx,0,6000.0,Debt consolidation,TX
8 years,328xx,0,5000.0,Credit card refinancing,FL
8 years,797xx,1,30000.0,Credit card refinancing,TX
10+ years,945xx,0,12000.0,Debt consolidation,CA
6 years,465xx,0,13000.0,Credit card refinancing,IN
4 years,207xx,0,4000.0,Other,MD
1 year,217xx,1,6000.0,Debt consolidation,MD
10+ years,150xx,0,20000.0,Credit card refinancing,PA
5 years,900xx,0,15000.0,Other,CA
10+ years,314xx,0,29575.0,Debt consolidation,GA
7 years,932xx,0,7000.0,Home improvement,CA
3 years,922xx,0,23000.0,Debt consolidation,CA
10+ years,356xx,1,13750.0,Debt consolidation,AL
5 years,853xx,0,15000.0,My debt consolidation,AZ
3 years,844xx,0,18000.0,Debt consolidation,UT
10+ years,136xx,0,10000.0,Debt consolidation,NY
6 years,908xx,0,6000.0,Debt consolidation,CA
6 years,015xx,0,11000.0,Credit card refinancing,MA
10+ years,600xx,1,10000.0,Small Business Loan,IL
10+ years,967xx,0,8000.0,Credit card refinancing,HI
10+ years,850xx,0,16000.0,Credit card refinancing,AZ
1 year,300xx,0,5000.0,Medical expenses,GA
10+ years,773xx,0,8000.0,Major purchase,TX
10+ years,273xx,0,3000.0,Home improvement,NC
10+ years,606xx,0,5000.0,Debt consolidation,IL
9 years,302xx,0,26000.0,Debt consolidation,GA
10+ years,208xx,0,29175.0,Freedom,MD
8 years,342xx,1,3375.0,Debt consolidation,FL
2 years,616xx,1,15075.0,Debt consolidation,IL
5 years,961xx,0,8000.0,Debt consolidation,CA
4 years,934xx,1,11000.0,Credit card refinancing,CA
10+ years,462xx,1,30000.0,Debt consolidation,IN
5 years,104xx,0,20000.0,Other,NY
10+ years,060xx,0,24000.0,Credit card refinancing,CT
9 years,062xx,0,15000.0,Pay off Credit cards,CT
1 year,900xx,1,24000.0,Debt consolidation,CA
10+ years,774xx,0,7000.0,Debt consolidation,TX
< 1 year,143xx,0,2000.0,Other,NY
3 years,105xx,1,15000.0,Debt Consolidation,NY
3 years,330xx,0,24000.0,Home improvement,FL
10+ years,101xx,0,14000.0,Debt consolidation,NY
2 years,786xx,0,12000.0,Debt consolidation,TX
2 years,600xx,0,13375.0,Debt consolidation,IL
6 years,314xx,0,2700.0,Home,GA
9 years,066xx,0,5000.0,Debt consolidation,CT
10+ years,662xx,0,32000.0,Debt consolidation,KS
< 1 year,857xx,0,5000.0,Debt consolidation,AZ
3 years,980xx,0,10100.0,Credit card refinancing,WA
10+ years,068xx,0,25000.0,Payoff 2011,CT
7 years,207xx,0,4800.0,pay off,MD
9 years,784xx,0,12500.0,Debt consolidation,TX
< 1 year,024xx,1,16000.0,Credit card refinancing,MA
10+ years,764xx,0,10000.0,Debt consolidation,TX
7 years,972xx,0,7000.0,Debt consolidation,OR
10+ years,537xx,0,9300.0,Other,WI
10+ years,781xx,0,14000.0,Personal ,TX
10+ years,853xx,0,25000.0,Debt consolidation,AZ
10+ years,067xx,0,9450.0,Debt consolidation,CT
10+ years,479xx,1,16000.0,Debt consolidation,IN
7 years,667xx,0,35000.0,Credit card refinancing,KS
9 years,786xx,0,5600.0,Medical expenses,TX
10+ years,683xx,1,7200.0,Debt consolidation,NE
10+ years,953xx,0,10050.0,Debt consolidation,CA
8 years,104xx,0,13000.0,Debt consolidation,NY
8 years,550xx,0,6000.0,Debt consolidation,MN
10+ years,306xx,1,30000.0,Debt consolidation,GA
5 years,274xx,0,11875.0,Debt consolidation,NC
2 years,598xx,0,5000.0,Debt consolidation,MT
< 1 year,920xx,0,4875.0,Vacation,CA
1 year,563xx,0,2000.0,Credit card refinancing,MN
1 year,951xx,0,24000.0,Consolidation Loan,CA
8 years,622xx,1,4000.0,Other,IL
10+ years,953xx,0,12000.0,Debt consolidation,CA
9 years,462xx,0,15000.0,Debt consolidation,IN
6 years,900xx,0,10000.0,Debt consolidation,CA
10+ years,088xx,0,13675.0,Debt consolidation,NJ
8 years,770xx,0,11000.0,Debt consolidation,TX
10+ years,968xx,0,35000.0,Debt consolidation,HI
10+ years,750xx,0,12000.0,Medical expenses,TX
8 years,851xx,0,15000.0,Debt consolidation,AZ
5 years,223xx,0,15000.0,Credit card refinancing,VA
9 years,189xx,0,15000.0,Debt consolidation,PA
2 years,300xx,0,30225.0,Home Improvement (Basement),GA
1 year,481xx,1,14125.0,Debt consolidation,MI
10+ years,604xx,0,28000.0,Debt consolidation,IL
5 years,070xx,0,8300.0,better rate,NJ
< 1 year,190xx,0,7000.0,Debt consolidation,PA
6 years,325xx,0,9600.0,Moving and relocation,FL
10+ years,952xx,1,10000.0,Credit card refinancing,CA
4 years,115xx,0,6000.0,Debt consolidation,NY
6 years,906xx,0,30000.0,Home improvement,CA
< 1 year,468xx,0,3000.0,Other,IN
10+ years,280xx,0,6000.0,Debt consolidation,NC
10+ years,983xx,0,20000.0,Debt consolidation,WA
3 years,080xx,0,14325.0,Debt consolidation,NJ
2 years,482xx,0,10000.0,Debt consolidation,MI
2 years,212xx,0,24000.0,Major purchase,MD
10+ years,104xx,1,24000.0,Debt Consolidation,NY
8 years,565xx,0,11500.0,Credit card refinancing,MN
3 years,853xx,0,4500.0,Credit card refinancing,AZ
2 years,452xx,0,10000.0,Credit card refinancing,OH
10+ years,303xx,0,28000.0,Home improvement,GA
9 years,322xx,0,18000.0,pay credit cards,FL
3 years,903xx,0,8000.0,Debt consolidation,CA
10+ years,115xx,0,6000.0,Home improvement,NY
10+ years,335xx,0,17600.0,Other,FL
8 years,810xx,0,3950.0,Debt consolidation,CO
3 years,774xx,0,25850.0,Debt consolidation,TX
5 years,016xx,0,28000.0,Debt consolidation,MA
10+ years,134xx,0,12475.0,Credit card refinancing,NY
8 years,336xx,0,24000.0,Debt consolidation,FL
< 1 year,600xx,0,10000.0,Debt consolidation,IL
< 1 year,907xx,0,4000.0,Debt consolidation,CA
8 years,100xx,0,20000.0,Credit Card Loan,NY
2 years,339xx,0,5000.0,Debt consolidation,FL
5 years,945xx,0,15000.0,Other,CA
10+ years,310xx,0,25000.0,Debt consolidation,GA
10+ years,606xx,1,20000.0,Accelerated Debt Consolidation Loan,IL
2 years,400xx,1,7500.0,Credit card refinancing,KY
8 years,778xx,0,8925.0,Credit card refinancing,TX
3 years,103xx,0,6000.0,Debt consolidation,NY
5 years,278xx,0,15000.0,EASYDAY,NC
8 years,813xx,0,15000.0,Debt consolidation,CO
10+ years,480xx,0,6800.0,Credit card refinancing,MI
